ID: ,Cena: ,Powierzchnia: ,Cena za metr: ,Pokoje: ,Ulica: ,Dzielnica: ,Obszar administracyjny,Miasto,Województwo,Piętro: ,Winda: ,Czynsz: ,Tytuł: ,Link: 
66460841,285 000 zł,21m²,13 571 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,parter,nie,120 zł,Kawalerka przy parku,https://www.otodom.pl/pl/oferta/kawalerka-przy-parku-ID4uRw3
66460841,285 000 zł,21m²,13 571 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,parter,nie,120 zł,Kawalerka przy parku,https://www.otodom.pl/pl/oferta/kawalerka-przy-parku-ID4uRw3
67021892,340 000 zł,38.6m²,8 808 zł/m²,2,ul. Mostowa, Centrum, Stare Miasto, Poznań, wielkopolskie,5 piętro,nie,400 zł,TOP!!! Loftowe poddasze do wykończenia | Stare Miasto – CENTRUM,https://www.otodom.pl/pl/oferta/top-loftowe-poddasze-do-wykonczenia-stare-miasto-centrum-ID4xdsg
67015679,340 000 zł,23m²,14 783 zł/m²,1,os. Jagiellońskie, Rataje, Nowe Miasto, Poznań, wielkopolskie,parter,nie,415 zł,"Ładna Kawalerka, Os. Jagiellońskie, Rataje, niski blok !!!",https://www.otodom.pl/pl/oferta/ladna-kawalerka-os-jagiellonskie-rataje-niski-blok-ID4xbQ3
66713231,312 900 zł,28.3m²,11 057 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,parter,tak,brak informacji,1-pokojowe mieszkanie 28m2 Bez Pośredników,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bez-posrednikow-ID4wW9R
66295311,,28 - 79 m²,,,ul. Koszalińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie,,,,Osiedle Naturama II,https://www.otodom.pl/pl/oferta/osiedle-naturama-ii-ID4uard
67023885,355 000 zł,33.8m²,10 503 zł/m²,2,ul. Poznańska, Jeżyce, Jeżyce, Poznań, wielkopolskie,4 piętro,nie,700 zł,od zaraz/ jasne M2/ Jeżyce/ parking/piwnica,https://www.otodom.pl/pl/oferta/od-zaraz-jasne-m2-jezyce-parking-piwnica-ID4xdYp
66951742,338 300 zł,29.56m²,11 445 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,parter,tak,brak informacji,0% Prowizji. Naramowice - Blisko Tramwaj. Nowe,https://www.otodom.pl/pl/oferta/0-prowizji-naramowice-blisko-tramwaj-nowe-ID4vWcO
66951740,335 000 zł,26.45m²,12 665 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,2 piętro,tak,brak informacji,0% Prowizji. Naramowice - Blisko Tramwaj. Nowe,https://www.otodom.pl/pl/oferta/0-prowizji-naramowice-blisko-tramwaj-nowe-ID4vWcM
66631041,,28.29m²,,1,ul. Michała Kajki, Ogrody, Jeżyce, Poznań, wielkopolskie,2 piętro,tak,brak informacji,1-pokojowe mieszkanie 28m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bez-prowizji-ID4wzMd
67023217,350 000 zł,29m²,12 069 zł/m²,1,ul. Horacego, Strzeszyn, Jeżyce, Poznań, wielkopolskie,2 piętro,nie,450 zł,Kawalerka z potencjałem na 2 pokoje i dużą piwnicą Horacego/Strzeszyn,https://www.otodom.pl/pl/oferta/kawalerka-z-potencjalem-na-2-pokoje-i-duza-piwnica-horacego-strzeszyn-ID4xdND
66454655,299 999 zł,26.3m²,11 407 zł/m²,1,ul. Szpitalna, Ogrody, Jeżyce, Poznań, wielkopolskie,5 piętro,nie,brak informacji,Okazja! Kawalerka po remoncie! Ul. Szpitalna,https://www.otodom.pl/pl/oferta/okazja-kawalerka-po-remoncie-ul-szpitalna-ID4uPTh
67022099,298 000 zł,24m²,12 417 zł/m²,1,ul. Klaudyny Potockiej, Łazarz, Grunwald, Poznań, wielkopolskie,4 piętro,nie,330 zł,Kawalerka na Łazarzu do wynajęcia od zaraz!,https://www.otodom.pl/pl/oferta/kawalerka-na-lazarzu-do-wynajecia-od-zaraz-ID4xdwB
66460841,285 000 zł,21m²,13 571 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,parter,nie,120 zł,Kawalerka przy parku,https://www.otodom.pl/pl/oferta/kawalerka-przy-parku-ID4uRw3
67021892,340 000 zł,38.6m²,8 808 zł/m²,2,ul. Mostowa, Centrum, Stare Miasto, Poznań, wielkopolskie,5 piętro,nie,400 zł,TOP!!! Loftowe poddasze do wykończenia | Stare Miasto – CENTRUM,https://www.otodom.pl/pl/oferta/top-loftowe-poddasze-do-wykonczenia-stare-miasto-centrum-ID4xdsg
67011149,320 000 zł,32.07m²,9 978 zł/m²,2,ul. Za Groblą, Centrum, Stare Miasto, Poznań, wielkopolskie,5 piętro,nie,400 zł,Mieszkanie z MEGA WIDOKIEM na miasto,https://www.otodom.pl/pl/oferta/mieszkanie-z-mega-widokiem-na-miasto-ID4xaEZ
66318836,,27 - 79 m²,,,ul. Zygmunta Wojciechowskiego, Piątkowo, Stare Miasto, Poznań, wielkopolskie,,,,Początek Piątkowo,https://www.otodom.pl/pl/oferta/poczatek-piatkowo-ID4ugyE
67019405,265 000 zł,20.04m²,13 224 zł/m²,1,os. Rusa, Chartowo, Nowe Miasto, Poznań, wielkopolskie,10 piętro,nie,0,Dobra Lokalizacja | Idealne na start,https://www.otodom.pl/pl/oferta/dobra-lokalizacja-idealne-na-start-ID4xcO9
66463681,299 000 zł,26.26m²,11 386 zł/m²,2,ul. Kanałowa, Łazarz, Grunwald, Poznań, wielkopolskie,2 piętro,nie,411 zł,Mieszkanie 2-pokojowe 5 minut pieszo od TARGÓW,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-5-minut-pieszo-od-targow-ID4uSeR
