ID,Cena,Powierzchnia,Cena za metr,Pokoje,Ulica,Dzielnica,Obszar administracyjny,Miasto,Województwo,Piętro,Winda,Czynsz,Tytuł,Link
66819142,212 100 zł,13.51m²,15 699 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,parter,nie,brak informacji,1-pokojowe mieszkanie 13m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-13m2-bezposrednio-ID4vmI6
66551229,335 000 zł,25.36m²,13 210 zł/m²,1,ul. Krótka, Główna, Nowe Miasto, Poznań, wielkopolskie,1 piętro,nie,130 zł,Jasna kawalerka w stylu LOFT - okolice Śródki - P-ń,https://www.otodom.pl/pl/oferta/jasna-kawalerka-w-stylu-loft-okolice-srodki-p-n-ID4wf0W
66987900,349 000 zł,45.1m²,7 738 zł/m²,3,ul. Piekary, Centrum, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,0,3 pokoje | 45 m² z Potencjałem | Stare Miasto,https://www.otodom.pl/pl/oferta/3-pokoje-45-m-z-potencjalem-stare-miasto-ID4x4C0
67060628,260 000 zł,25.54m²,10 180 zł/m²,2,ul. Kolejowa, Łazarz, Grunwald, Poznań, wielkopolskie,parter,nie,brak informacji,Mieszkanie do remontu w kamienicy,https://www.otodom.pl/pl/oferta/mieszkanie-do-remontu-w-kamienicy-ID4xnx2
67049447,335 000 zł,25.83m²,12 969 zł/m²,1,ul. Nad Potokiem, Sołacz, Jeżyce, Poznań, wielkopolskie,1 piętro,nie,456 zł,Kawalerska z obłędnym widokiem na zieleń |SOŁACZ|,https://www.otodom.pl/pl/oferta/kawalerska-z-oblednym-widokiem-na-zielen-solacz-ID4xkCH
66968033,349 000 zł,33.9m²,10 295 zł/m²,2,ul. Chlebowa, Zawady, Nowe Miasto, Poznań, wielkopolskie,parter,nie,567 zł,"ul. Chlebowa, 2 pok, 34m2 parter (s)",https://www.otodom.pl/pl/oferta/ul-chlebowa-2-pok-34m2-parter-s-ID4vZrz
66994092,308 000 zł,28.16m²,10 938 zł/m²,1,ul. Śródka, Śródka, Nowe Miasto, Poznań, wielkopolskie,2 piętro,nie,390 zł,Kawalerka na poznańskiej Śródce,https://www.otodom.pl/pl/oferta/kawalerka-na-poznanskiej-srodce-ID4x6dS
66740657,290 000 zł,26.13m²,11 098 zł/m²,1,ul. Kolejowa, Wilda, Wilda, Poznań, wielkopolskie,1 piętro,nie,brak informacji,Kamienica na Łazarzu – mieszkanie 26 m² w super lokalizacji,https://www.otodom.pl/pl/oferta/kamienica-na-lazarzu-mieszkanie-26-m-w-super-lokalizacji-ID4v2id
66854996,39 220 zł,59.1m²,664 zł/m²,3,,Naramowice, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,brak informacji,"1/6 udziału w lokalu, Poznań, Osiedle Łokietka - nowa niższa cena.",https://www.otodom.pl/pl/oferta/1-6-udzialu-w-lokalu-poznan-osiedle-lokietka-nowa-nizsza-cena-ID4vv2o
67025974,185 000 zł,25m²,7 400 zł/m²,1,ul. Bukowska, Jeżyce, Jeżyce, Poznań, wielkopolskie,suterena,nie,500 zł,Wykończona kawalerka gotowa do najmu,https://www.otodom.pl/pl/oferta/wykonczona-kawalerka-gotowa-do-najmu-ID4xev6
66296985,328 018 zł,28.39m²,11 554 zł/m²,1,ul. Koszalińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie,3 piętro,tak,brak informacji,1-pokojowe mieszkanie 28m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bez-prowizji-ID4uaSd
