ID,Cena,Powierzchnia,Cena za metr,Pokoje,Ulica,Dzielnica,Obszar administracyjny,Miasto,Województwo,Piętro,Winda,Czynsz,Tytuł,Link
67093097,355 400 zł,30.19m²,11 772 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,2,tak,brak informacji,1-pokojowe mieszkanie 30m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-bezposrednio-ID4xwYJ
66713172,348 300 zł,29.1m²,11 969 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,5,tak,brak informacji,1-pokojowe mieszkanie 29m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-bezposrednio-ID4wW8U
66730652,321 300 zł,20.21m²,15 898 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,parter,nie,brak informacji,1-pokojowe mieszkanie 20m2 Bez Pośredników,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-20m2-bez-posrednikow-ID4wZGQ
66713229,332 700 zł,27.29m²,12 191 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 27m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-bezposrednio-ID4wW9P
65812767,330 627 zł,34.95m²,9 460 zł/m²,2,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,2,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.2.043,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-2-043-ID4s8Uf
66713395,350 600 zł,27.72m²,12 648 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4wWcw
66819148,304 800 zł,18.36m²,16 601 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,1,nie,brak informacji,1-pokojowe mieszkanie 18m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-18m2-bezposrednio-ID4vmIc
66297031,325 629 zł,28.71m²,11 342 zł/m²,1,ul. Koszalińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie,1,tak,brak informacji,1-pokojowe mieszkanie 28m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bezposrednio-ID4uaSX
66713273,336 500 zł,26.34m²,12 775 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bezposrednio-ID4wWax
66819145,282 400 zł,17.99m²,15 698 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,parter,nie,brak informacji,1-pokojowe mieszkanie 17m2 Bez Pośredników,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-17m2-bez-posrednikow-ID4vmI9
66713387,334 600 zł,25.62m²,13 060 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 25m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-ID4wWcn
66713279,350 600 zł,27.72m²,12 648 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4wWaD
66292434,333 990 zł,23.95m²,13 945 zł/m²,1,os. Lotnictwa Polskiego, Wola, Jeżyce, Poznań, wielkopolskie,7,tak,brak informacji,1-pokojowe mieszkanie 23m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-23m2-bez-prowizji-ID4u9GO
66819147,323 200 zł,18.9m²,17 101 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,2,nie,brak informacji,1-pokojowe mieszkanie 18m2 Bez Pośredników,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-18m2-bez-posrednikow-ID4vmIb
