ID,Cena,Powierzchnia,Cena za metr,Pokoje,Ulica,Dzielnica,Obszar administracyjny,Miasto,Województwo,Piętro,Winda,Czynsz,Tytuł,Link
67216130,297 000 zł,31m²,9 581 zł/m²,1,ul. Sypniewo, Piotrowo, Nowe Miasto, Poznań, wielkopolskie,2 piętro,nie,263 zł,"Kawalerka na peryferiach Poznania (Głuszyna / Sypniewo),",https://www.otodom.pl/pl/oferta/kawalerka-na-peryferiach-poznania-gluszyna-sypniewo-ID4y1Z8
67204244,335 000 zł,32m²,10 469 zł/m²,1,os. Zwycięstwa, Winogrady, Stare Miasto, Poznań, wielkopolskie,10 piętro,tak,650 zł,Zadbana kawalerka+balkon+winda+piwnica WINOGRADY OS.Zwycięstwa 8,https://www.otodom.pl/pl/oferta/zadbana-kawalerka-balkon-winda-piwnica-winogrady-os-zwyciestwa-8-ID4xYTq
67203727,249 993 zł,19.9m²,12 562 zł/m²,1,ul. Józefa Strusia, Łazarz, Grunwald, Poznań, wielkopolskie,parter,nie,180 zł,Kawalerka pod inwestycję / dla singla lub pary / na start,https://www.otodom.pl/pl/oferta/kawalerka-pod-inwestycje-dla-singla-lub-pary-na-start-ID4xYL5
66599317,329 999 zł,40m²,8 250 zł/m²,2,ul. Jana Spychalskiego, Wilda, Wilda, Poznań, wielkopolskie,suterena,nie,250 zł,⭐️ Mieszkanie z potencjałem usługowym ⭐ Poznań ⭐,https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-uslugowym-poznan-ID4wrvx
67038859,330 000 zł,31.65m²,10 427 zł/m²,1,ul. Zielona, Centrum, Stare Miasto, Poznań, wielkopolskie,suterena,nie,brak informacji,"⭐Lokal w centrum Poznania – ul. Zielona ⭐31,65m2⭐",https://www.otodom.pl/pl/oferta/lokal-w-centrum-poznania-ul-zielona-31-65m2-ID4xhRW
67216366,329 000 zł,26m²,12 654 zł/m²,1,ul. Cedrowa, Dębiec, Wilda, Poznań, wielkopolskie,4 piętro,nie,450 zł,Kawalerka idealna| Prywatna loggia| ul. Cedrowa,https://www.otodom.pl/pl/oferta/kawalerka-idealna-prywatna-loggia-ul-cedrowa-ID4y22V
67216364,265 000 zł,30.16m²,8 786 zł/m²,2,,Centrum, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,brak informacji,Mieszkanie do remontu Wilda,https://www.otodom.pl/pl/oferta/mieszkanie-do-remontu-wilda-ID4y22U
67020766,295 000 zł,34.5m²,8 551 zł/m²,1,,Centrum, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,brak informacji,"Kawalerka z antresolą w centrum Jeżyc,",https://www.otodom.pl/pl/oferta/kawalerka-z-antresola-w-centrum-jezyc-ID4xda6
67194594,339 000 zł,39.15m²,8 659 zł/m²,2,ul. Za Groblą, Centrum, Stare Miasto, Poznań, wielkopolskie,5 piętro,nie,430 zł,| 2 pokoje | do metamorfozy | Stare Miasto,https://www.otodom.pl/pl/oferta/2-pokoje-do-metamorfozy-stare-miasto-ID4xVnM
66789022,299 900 zł,30.9m²,9 706 zł/m²,1,ul. Rybaki, Centrum, Stare Miasto, Poznań, wielkopolskie,5 piętro,nie,140 zł,Mieszkanie w kamienicy w samym centrum,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-w-samym-centrum-ID4veSi
66883078,330 000 zł,33m²,10 000 zł/m²,2,,Dębiec, Wilda, Poznań, wielkopolskie,4 piętro,nie,brak informacji,Sprzedam mieszkanie Poznań Dębiec,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-poznan-debiec-ID4vDlk
67213380,355 000 zł,32m²,11 094 zł/m²,1,,Winogrady, Stare Miasto, Poznań, wielkopolskie,4 piętro,tak,525 zł,Mieszkanie os. Wichrowe Wzgórze kawalerka 32m2,https://www.otodom.pl/pl/oferta/mieszkanie-os-wichrowe-wzgorze-kawalerka-32m2-ID4y1gM
