ID,Cena,Powierzchnia,Cena za metr,Pokoje,Ulica,Dzielnica,Obszar administracyjny,Miasto,Województwo,Piętro,Winda,Czynsz,Tytuł,Link
67112903,295 000 zł,26.7m²,11 049 zł/m²,1,os. Wichrowe Wzgórze, Winogrady, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,430 zł,Kawalerka na winogradach - do remontu,https://www.otodom.pl/pl/oferta/kawalerka-na-winogradach-do-remontu-ID4xB8b
67130150,345 000 zł,26.7m²,12 921 zł/m²,1,os. Pod Lipami, Winogrady, Stare Miasto, Poznań, wielkopolskie,3 piętro,nie,brak informacji,Kawalerka na sprzedaż os. Pod Lipami,https://www.otodom.pl/pl/oferta/kawalerka-na-sprzedaz-os-pod-lipami-ID4xFCm
67118080,345 466 zł,45.1m²,7 660 zł/m²,2,ul. Piekary, Centrum, Stare Miasto, Poznań, wielkopolskie,4 piętro,nie,0,Inwestycja na Starym Mieście | Tylko 7 660 zł/m2,https://www.otodom.pl/pl/oferta/inwestycja-na-starym-miescie-tylko-7-660-zl-m2-ID4xCtG
67100145,339 000 zł,29m²,11 690 zł/m²,1,ul. Turkusowa, Winiary, Jeżyce, Poznań, wielkopolskie,8 piętro,nie,0,Kawalerka Blisko Uniwersytetu,https://www.otodom.pl/pl/oferta/kawalerka-blisko-uniwersytetu-ID4xxOp
67139430,349 000 zł,29.33m²,11 899 zł/m²,1,ul. Główna, Główna, Nowe Miasto, Poznań, wielkopolskie,1 piętro,nie,250 zł,Nowa cena | Kawalerka | Balkon,https://www.otodom.pl/pl/oferta/nowa-cena-kawalerka-balkon-ID4xI22
67138949,333 000 zł,32m²,10 406 zł/m²,1,os. Wichrowe Wzgórze, Winogrady, Stare Miasto, Poznań, wielkopolskie,7 piętro,tak,brak informacji,Kawalerka w b. dobrze skominukowanym miejscu,https://www.otodom.pl/pl/oferta/kawalerka-w-b-dobrze-skominukowanym-miejscu-ID4xHUh
67138501,315 000 zł,34m²,9 265 zł/m²,2,ul. Marcina Kasprzaka, Łazarz, Grunwald, Poznań, wielkopolskie,suterena,nie,500 zł,"Mieszkanie, 34 m², Poznań",https://www.otodom.pl/pl/oferta/mieszkanie-34-m-poznan-ID4xHN3
66297024,321 999 zł,28.39m²,11 342 zł/m²,1,ul. Koszalińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie,1 piętro,tak,brak informacji,1-pokojowe mieszkanie 28m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bez-prowizji-ID4uaSQ
67052097,306 500 zł,25.28m²,12 124 zł/m²,1,ul. Naramowicka, Winogrady, Stare Miasto, Poznań, wielkopolskie,1 piętro,tak,brak informacji,0% Prowizji. Naramowice. Nowe od Dewelopera,https://www.otodom.pl/pl/oferta/0-prowizji-naramowice-nowe-od-dewelopera-ID4xljr
67052098,317 300 zł,27.72m²,11 447 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,parter,tak,brak informacji,0% Prowizji. Naramowice. Nowe od Dewelopera,https://www.otodom.pl/pl/oferta/0-prowizji-naramowice-nowe-od-dewelopera-ID4xljs
67135998,349 000 zł,35.53m²,9 823 zł/m²,1,,Dębiec, Wilda, Poznań, wielkopolskie,parter,nie,500 zł,Os. Dębina - jasne 2-pok. mieszkanie po remoncie,https://www.otodom.pl/pl/oferta/os-debina-jasne-2-pok-mieszkanie-po-remoncie-ID4xH8G
67135762,306 912 zł,31.97m²,9 600 zł/m²,2,ul. Kolejowa, Łazarz, Grunwald, Poznań, wielkopolskie,2 piętro,nie,brak informacji,Mieszkanie do remontu w kamienicy,https://www.otodom.pl/pl/oferta/mieszkanie-do-remontu-w-kamienicy-ID4xH4S
67135708,296 970 zł,31.26m²,9 500 zł/m²,2,ul. Kolejowa, Łazarz, Grunwald, Poznań, wielkopolskie,3 piętro,nie,brak informacji,Mieszkanie do remontu w kamienicy,https://www.otodom.pl/pl/oferta/mieszkanie-do-remontu-w-kamienicy-ID4xH40
